,south,north,east,west
2013-01-02,1.4622641509433958,1.3776825391804908,1.414850736868623,1.4200814366747476
2013-01-02,1.2602671534057908,1.2135881754733013,1.270788550741034,1.1983832204500762
2013-01-03,1.678516186806328,1.632644639467386,1.663910819576811,1.5970879259060127
2013-01-04,1.2338772437901069,1.2013993798203066,1.2413736444298389,1.259980681431242
2013-01-05,3.728594562932846,3.644659960243359,3.73257812661793,3.7392620975217845
2013-01-07,1.26995899136201,1.1874893605876882,1.200832587635685,1.2102860803587516
2013-01-07,1.843104976573382,1.90646877036601,1.9870598081503896,1.939462962368869
2013-01-09,2.650438993086953,2.685657282199069,2.7072967255608855,2.678566164549126
2013-01-09,2.019536372324584,2.0034727964279804,2.052379554130057,2.09062881071256
2013-01-09,1.2343607786668116,1.2684535650717201,1.2511876402792508,1.2209263265388384
2013-01-13,2.5194249387127607,2.5390726189448234,2.5344512701311643,2.54077896138482
2013-01-14,1.2948892403970356,1.291087489779231,1.2207449841357152,1.2173843869325414
2013-01-14,2.0094219287620723,2.0145445266649653,2.0794245689408912,2.032135269121813
2013-01-17,1.2190547636909226,1.2308633501447368,1.2213856953911892,1.1729062339235363
2013-01-20,1.2781978642289953,1.1913145539906103,1.141720462393034,1.1969906047181083
2013-01-20,1.4159880532935114,1.3809523809523807,1.3774678500271689,1.4462064949465137
2013-01-21,2.6313108444645685,2.620435258496923,2.6474981329350262,2.657860495036477
2013-01-21,1.6781576002598995,1.6443372075390918,1.680393434852166,1.644920782851817
2013-01-24,1.1315588385124804,1.1438900294563958,1.1136338998566624,1.133084221352629
2013-01-24,2.343863351579502,2.294773733084342,2.29582081398525,2.351503593215201
2013-01-25,1.3400236127508862,1.380732724208285,1.4140668266568213,1.4364694786822334
2013-01-25,1.3400236127508862,1.405671453084078,1.4140668266568213,1.4364694786822334
2013-01-27,1.3109326718937209,1.2484531382297388,1.2669542494504125,1.226851087710032
2013-02-01,1.7056138749429481,1.7381246144355336,1.6850674176162324,1.72052707129449
2013-02-01,2.610730753108844,2.6903795655287657,2.6090785712223155,2.6381285625599635
2013-02-02,1.2567493781471817,1.196495037220844,1.2097763242422475,1.213166402405123
2013-02-02,1.1135300757942266,1.196495037220844,1.2097763242422475,1.213166402405123
2013-02-04,1.6717115220109222,1.6018574776495094,1.6843714791566067,1.737564613168375
2013-02-04,1.1585115600346567,1.14805598755832,1.1141275417864362,1.1241160024121482
2013-02-05,1.4065924169193353,1.3491622863180897,1.3910822108685557,1.4422028353326064
2013-02-05,1.1548889600946484,1.2019257616491033,1.2531380753138077,1.2117741381285074
2013-02-08,1.259406084752381,1.3245075741320855,1.2857603295941036,1.2961407634485365
2013-02-09,1.4642504273638317,1.4886684971927382,1.4894508036533327,1.5624327928082924
2013-02-09,1.171558355188034,1.118897273987371,1.1319067681023247,1.1560739632729702
2013-02-10,1.1351088015589479,1.1561756570279669,1.1312165555020157,1.2307965932199978
2013-02-11,2.1455300506548625,2.1827933687290066,2.2184211768036617,2.128049608473272
2013-02-11,1.2931129325045383,1.2955817094346904,1.324254288369997,1.2512974742501264
2013-02-12,2.5596395606803433,2.6077437197510944,2.6177137895297053,2.6000663194108626
2013-02-13,1.2846793613533805,1.3349188422762084,1.3052326801225298,1.2823532662379376
2013-02-14,1.1327324375831522,1.1991764477011868,1.1046915193336326,1.1619135467077746
2013-02-14,1.2852402388108415,1.1991764477011868,1.2824271890680334,1.2718357975684982
2013-02-14,1.2852402388108415,1.3079534604095202,1.2824271890680334,1.2718357975684982
2013-02-14,1.721371195424491,1.6760320841074912,1.679585302908023,1.7277954191014826
2013-02-14,2.651581044302909,2.5896233020585355,2.6811019720543054,2.7220923004055533
2013-02-18,1.3014126548887572,1.3107061437889695,1.2647153509497004,1.328494260634706
2013-02-21,1.1407325287091847,1.171502198165066,1.2510187449062755,1.1722322054242322
2013-02-22,1.75890199536986,1.8083766996810475,1.865272787324973,1.812268205098016
2013-02-22,1.2300516536889985,1.187281293913427,1.251838815634803,1.15399032874761
2013-02-26,1.4948213662283254,1.5106495306287424,1.5366271248624193,1.521746549047042
2013-03-03,1.3109163807712978,1.2623112278397899,1.2058073847311312,1.2164681210497184
2013-03-03,1.3109163807712978,1.2623112278397899,1.3064728080223185,1.2164681210497184
2013-03-04,1.2041546230584947,1.1589095785393693,1.1211699574914658,1.1535666867036143
2013-03-09,1.2454614911325819,1.2626620193878664,1.182938340263782,1.1460985194888653
2013-03-16,1.3146604063790175,1.3483541629994718,1.3160309114647657,1.2971215750563032
2013-03-19,1.1360599546854124,1.20253164556962,1.231143591650633,1.1325836046167506
2013-03-19,2.064287976353848,1.9830594505424781,2.013405959967212,2.094232242530371
2013-03-23,1.1368174937639024,1.2182470058738268,1.118425660060228,1.1598518410923084
2013-03-25,1.3075146382478677,1.3135367964777882,1.3264301488435057,1.3233820185109662
2013-03-25,1.709672291837762,1.7519953457084154,1.7623840626447798,1.7676413291355446
2013-03-26,1.2049639711769407,1.1841823427873048,1.2020998370162606,1.1779217910008102
2013-03-29,2.185716034407932,2.2503394642636714,2.2478349167814375,2.2290704538352024
2013-03-30,1.2451511812327625,1.2041111184080913,1.2968450116165526,1.3325284012952086
2013-03-30,1.436154190879905,1.4361243831753743,1.461614359986338,1.524551048599774
2013-03-31,1.3110307414104885,1.370238635602616,1.2789599703234074,1.366944310202689
2013-04-01,1.5573928244935924,1.5128707579941207,1.5142682298376706,1.5041755680714703
2013-04-07,1.366395791738192,1.3467910432011483,1.3382920418321125,1.3519267843145562
2013-04-07,1.6431298893446618,1.6097419468758674,1.6420214773390056,1.5647451143858964
2013-04-08,1.159712289988902,1.178030923548017,1.1621305311387236,1.1593971996776067
2013-04-08,1.4453451476668415,1.3726195545244984,1.447625546698099,1.4808120466352253
2013-04-08,1.7450416581088197,1.7233211053145798,1.7215684827916928,1.7799487784524184
2013-04-08,2.640636190424712,2.541250985402452,2.5269370296171965,2.550616469423941
2013-04-12,1.783780030551312,1.6951969123007644,1.7496213716651579,1.6897620404673694
2013-04-12,1.2345026429601151,1.249209944169388,1.242529928020009,1.277985828596061
2013-04-13,1.3158614091437164,1.344871269421364,1.2851554596344508,1.2797579018157361
2013-04-14,1.309624425545402,1.3881967213114752,1.3156973377681422,1.2778899771848444
2013-04-17,1.1724832580170959,1.1910485885468511,1.2856940552897504,1.19253757040608
2013-04-18,1.471743499177882,1.494978389975436,1.477026564815871,1.4720194647201947
2013-04-18,1.271404897808875,1.3018873033494895,1.2100691201195595,1.273982218062705
2013-04-18,1.1075340268548644,1.1630100868387314,1.2100691201195595,1.125232486050837
2013-04-22,1.3099921321793861,1.3111775157486671,1.2340209412711698,1.2586252956546105
2013-04-29,1.5445247255325139,1.5619138165840118,1.5124810834772775,1.4855657163349472
2013-04-30,1.7177639066110286,1.7572635274869715,1.7580467835211884,1.8127774659386642
2013-04-30,1.5238474011074743,1.5383779782260598,1.5102083125379115,1.4461632403826583
2013-04-30,2.094881608276906,2.1395637722842085,2.1032004876118777,2.1528998242530757
2013-05-02,1.2912087912087913,1.294291042531432,1.2133350154544884,1.2896114448603355
2013-05-02,1.2912087912087913,1.294291042531432,1.2740941908988543,1.2896114448603355
2013-05-03,1.1403073872087262,1.1175730902232002,1.1677200367412235,1.1864635337692462
2013-05-03,1.7530487804878052,1.7619362299686105,1.7619065101465767,1.773991200164885
2013-05-03,2.1883920076117986,2.2204871955028107,2.170739429850847,2.213061607771679
2013-05-05,2.902246079954796,2.9668569837070047,2.960194524495678,2.889924388957271
2013-05-05,1.5672438782515825,1.5549959856944748,1.569423223834989,1.542902741269245
2013-05-05,1.34355687800412,1.306975032206613,1.360851204769397,1.3557993730407525
2013-05-06,2.703161861803938,2.7024889702821944,2.649587181544907,2.6824247097866953
2013-05-06,1.6690180199162676,1.7138256875890827,1.7963555547358423,1.7584108901506608
2013-05-07,1.724515322076298,1.7702955069757225,1.6849703378682308,1.7331684233168425
2013-05-08,2.806845554870875,2.729738870647257,2.728933688173081,2.7863122464831283
2013-05-08,1.8232597067064518,1.81710302905226,1.765101988030788,1.8049421367473586
2013-05-08,1.5217457328554942,1.5302849558780542,1.4981340035276036,1.492119979664464
2013-05-08,2.1802793612114355,2.1996684116691836,2.1690358501112437,2.1427623282670742
2013-05-09,1.4751093246168114,1.4640952885784664,1.5109530847384187,1.5153631284916202
2013-05-09,1.7849698006307124,1.7313152169905237,1.8081264526404495,1.7816091954022988
2013-05-09,2.7854700141796642,2.7627088726759235,2.8326781077277943,2.818181818181818
2013-05-11,1.1859334760056583,1.2239132941312119,1.1924444579521625,1.1341234282410755
2013-05-14,1.1423721839316943,1.13902162147892,1.2051225313934835,1.1790333928668073
2013-05-14,1.5065798399131733,1.4532318367071986,1.5280213228589468,1.5366438597728718
2013-05-22,1.586759059837063,1.664104534973098,1.6377555608236802,1.556434219985622
2013-05-27,2.231962906438948,2.2534975753859876,2.192294756862699,2.2888376362053138
2013-05-29,1.4391228825511826,1.4559871293955418,1.432678745795812,1.5290703176756362
2013-05-29,1.1477438223001055,1.2147651006711413,1.2307764004101034,1.1651722397173006
2013-05-29,1.1477438223001055,1.160043947994873,1.2307764004101034,1.1651722397173006
2013-05-29,1.4391228825511826,1.4559871293955418,1.432678745795812,1.3406538695580015
2013-05-30,1.7742822571774284,1.6986794717887153,1.76202249056743,1.6747798070356688
2013-05-30,1.32910349373764,1.3437796771130104,1.3360636817034015,1.2967231117558535
2013-06-01,1.1966415276591003,1.1717147339205982,1.1745204830689082,1.1560424192984502
2013-06-01,1.7977339956465923,1.8355387523629483,1.7909369922368659,1.7679558011049723
2013-06-01,1.3400174730623622,1.3323271130625682,1.3193243782417874,1.3068106968778814
2013-06-02,1.171617161716172,1.1525956432209818,1.1643969824630156,1.1507459095283925
2013-06-02,1.711301553294055,1.7217095677513354,1.7367478902568225,1.7637838834593396
2013-06-07,1.2885635366280652,1.2507439000198373,1.3399682435465392,1.268661714767955
2013-06-07,1.2885635366280652,1.2507439000198373,1.24535339132384,1.268661714767955
2013-06-07,1.2885635366280652,1.2507439000198373,1.1944804438578365,1.268661714767955
2013-06-07,1.2885635366280652,1.3745106774214955,1.3399682435465392,1.268661714767955
2013-06-07,1.2885635366280652,1.3745106774214955,1.4007816166016487,1.3729405710226652
2013-06-07,1.2885635366280652,1.3745106774214955,1.3399682435465392,1.3729405710226652
2013-06-07,1.2885635366280652,1.2507439000198373,1.3399682435465392,1.3729405710226652
2013-06-08,1.1833003952569172,1.1577977751009705,1.194619096359117,1.124359937384244
2013-06-08,1.8157695223654287,1.7920596622066243,1.8250865631631858,1.843649219139314
2013-06-10,1.2927267206210473,1.2457486700967995,1.1475054229934922,1.224860919263474
2013-06-10,1.2927267206210473,1.2457486700967995,1.3223677632236777,1.224860919263474
2013-06-10,1.9581825090494565,1.9298838151850848,2.0095730132198755,1.9253600525885939
2013-06-12,1.4108769116215134,1.3286118980169972,1.3319184600410945,1.369864905931431
2013-06-18,1.1737000753579505,1.1666349114644479,1.1549371602572633,1.147160038315535
2013-06-18,1.35258358662614,1.3350048880667873,1.3168559943498719,1.2792261739921664
2013-06-19,1.2260315739548753,1.2122526900381814,1.1942093541202674,1.230093838838713
2013-06-19,1.9843184559710498,2.0450457986532267,1.9652543615305675,2.056658534533524
2013-06-20,1.3629596150267194,1.3054782924174626,1.3294770184477767,1.3950162681039753
2013-06-20,1.1579292119350393,1.1027684135253855,1.1884334479699596,1.1941254669369537
2013-06-23,1.5438796045148309,1.5011798874568887,1.5636470896696384,1.6290318234485734
2013-06-25,1.3149233098545192,1.2842613342527145,1.3609158605330922,1.3414385447327457
2013-06-26,1.3357250125146007,1.3339822342914165,1.2806591722023506,1.2780236523253283
2013-06-26,1.5222682843342337,1.6087316774842668,1.5159534250718285,1.4882904610846974
2013-06-27,1.154509695673176,1.1890230835826265,1.2172486046468503,1.1900652810084789
2013-06-27,1.3751438434982737,1.4482215006838373,1.3799953751392713,1.3652405956787463
2013-06-28,1.8833541046302549,1.9298006604688673,1.9910276675347118,1.921356123623569
2013-07-03,1.2101192394456977,1.1946305050099466,1.213253920199686,1.1855657654829324
2013-07-04,1.1980892961590952,1.1377110355412448,1.226249285987785,1.1702583513363924
2013-07-08,1.5455694203127468,1.4584080315525279,1.5574460129008136,1.464161177838047
2013-07-15,1.34251467509544,1.2542415690236435,1.3086711216037772,1.3200218072781793
2013-07-16,1.5260335608733837,1.572768391645602,1.5780857753332953,1.5380139643134207
2013-07-17,1.3588902882633136,1.359581861924392,1.3290361356284737,1.3591873053536998
2013-07-19,1.5356038934858982,1.5497856791511484,1.5151387106935155,1.5112454579626615
2013-07-23,1.3051907106537692,1.2977572410684097,1.217594031706559,1.276243616417628
2013-07-23,1.218392675992836,1.2977572410684097,1.217594031706559,1.276243616417628
2013-07-26,1.557775696668739,1.5071857376750952,1.5206369325833797,1.5148581530431857
2013-07-26,1.2019321266144067,1.1943203113737926,1.146312332039415,1.2006198860913817
2013-07-28,1.2942354774093032,1.3439725666051172,1.2884761307776056,1.3097641408885148
2013-07-28,1.3286783779787903,1.3439725666051172,1.2884761307776056,1.3097641408885148
2013-08-01,1.9812454917047366,2.0372832648859625,2.054511666322527,1.9762531334838094
2013-08-02,1.1359345500314662,1.1180654250268418,1.165615290462291,1.1141760614056129
2013-08-02,1.5387894288150041,1.4480632741477846,1.4809055294715745,1.4621609378958762
2013-08-03,1.527867268041237,1.5544300185475814,1.5463158313761394,1.493087592743688
2013-08-03,1.527867268041237,1.5544300185475814,1.5463158313761394,1.6054722411262614
2013-08-06,1.2608826589278872,1.2117496601004492,1.1775235934038133,1.2010465744241046
2013-08-06,1.1529314574675815,1.2117496601004492,1.1775235934038133,1.2010465744241046
2013-08-08,1.2217878743177462,1.2859190721313614,1.2291716277183877,1.286331637276086
2013-08-08,1.353570844909299,1.2859190721313614,1.2291716277183877,1.286331637276086
2013-08-08,1.353570844909299,1.4376775697530413,1.4238055122747633,1.4005464066175917
2013-08-08,1.4233545282694622,1.4376775697530413,1.4238055122747633,1.4005464066175917
2013-08-08,1.4233545282694622,1.4376775697530413,1.4238055122747633,1.4814963474351772
2013-08-09,1.176056338028169,1.2048527886708744,1.1747732893652099,1.1535233893591004
2013-08-09,1.3338658146964855,1.382608147406748,1.3214837712519314,1.3056693896382336
2013-08-10,1.1430617967209902,1.186059677634208,1.1706929110412867,1.1653572764683873
2013-08-12,1.2157243889325449,1.2117518284491768,1.2188394015179251,1.1571512970621407
2013-08-14,1.340553182112214,1.2923532679133491,1.2202867368682377,1.3170626935859462
2013-08-15,1.1728650054065874,1.1477156724036033,1.1563427018435721,1.1865283386074739
2013-08-16,1.1128129291222142,1.1486741608759878,1.1436672967863897,1.2093460029380594
2013-08-16,1.1128129291222142,1.1486741608759878,1.1436672967863897,1.102344186992559
2013-08-22,1.3087957520440647,1.360024449877751,1.3284755265640802,1.260591078382133
2013-08-23,1.1472827131516568,1.1892226204446703,1.1668458600390859,1.1151896772416008
2013-08-24,1.6348767109749467,1.659877401539335,1.6387821237470797,1.6433390604701839
2013-08-26,1.2014262843836412,1.222443571576237,1.2612508654511887,1.2476979742173115
2013-08-28,1.1967627757771109,1.1061019081568464,1.1875128863563946,1.183130548660707
2013-08-28,1.1967627757771109,1.2491120056831635,1.1875128863563946,1.183130548660707
2013-08-28,1.4727317586995508,1.4730522200502654,1.4795310712033818,1.4067790472396746
2013-08-29,1.2787007653537426,1.2188479212879686,1.1923421777969647,1.2137267430458465
2013-08-30,1.125708167908284,1.1784781595397573,1.2453574744661096,1.1497096149709616
2013-08-31,1.1780641382340018,1.2248226320265008,1.2132392190355377,1.1946094957811015
2013-09-01,1.4193718054188191,1.349771815391759,1.3665673734010868,1.4541368403529216
2013-09-02,1.1618340369149232,1.2458063763661433,1.258618966723294,1.248887130279949
2013-09-02,1.5346574952175505,1.4753772028892478,1.4242903991857971,1.5194367553255508
2013-09-03,1.576922143186618,1.5270924005371564,1.565050754502157,1.599399542833748
2013-09-04,1.191637782437974,1.157075732942669,1.167626787680441,1.1729812476081134
2013-09-04,2.1076062910663773,2.185570141396416,2.1530807973168518,2.173538648566508
2013-09-04,1.3910823120900193,1.3165491025145857,1.3225819787912823,1.3089500335549997
2013-09-05,1.792765441469126,1.760077421526551,1.7523094688221714,1.84275691291787
2013-09-05,1.1229613223792156,1.1194668950382705,1.1952642331454455,1.1043779371753646
2013-09-12,1.2229085428901612,1.1294691059043136,1.201342544572088,1.2356563112230616
2013-09-12,1.2229085428901612,1.1992603195782139,1.1461620329742142,1.2356563112230616
2013-09-12,1.2229085428901612,1.1992603195782139,1.201342544572088,1.2356563112230616
2013-09-12,1.2229085428901612,1.2894610386444834,1.201342544572088,1.2356563112230616
2013-09-12,1.2871023038459077,1.1992603195782139,1.1461620329742142,1.2356563112230616
2013-09-12,1.2871023038459077,1.1992603195782139,1.201342544572088,1.2356563112230616
2013-09-12,1.2871023038459077,1.2894610386444834,1.201342544572088,1.2356563112230616
2013-09-12,1.2229085428901612,1.1294691059043136,1.1461620329742142,1.2356563112230616
2013-09-19,1.2873510449310368,1.3012968555693725,1.2797452798569997,1.2620305906470894
2013-09-20,1.1430307442130783,1.195072339492078,1.2314449004641175,1.2117232436745689
2013-09-20,1.1430307442130783,1.195072339492078,1.173385475677059,1.2117232436745689
2013-09-26,1.4436407474382158,1.469311865659321,1.4074048249895414,1.480587366824947
2013-09-27,1.6794753988806284,1.651148026663845,1.6807442294967108,1.7666089835226846
2013-09-30,1.422108899490047,1.4814771201808714,1.4815342111541216,1.4502674766524621
2013-09-30,1.2042067140270227,1.1744552939638913,1.1588702347056097,1.1268845991263918
2013-10-01,1.790070618446394,1.787689067025541,1.8426915785564917,1.7481633144646511
2013-10-04,1.2388915847643602,1.1576929488248042,1.125562730439388,1.175062783060379
2013-10-05,1.2928778068604492,1.2441409816772517,1.1992340994421296,1.2517608149766246
2013-10-05,1.5255201560468143,1.44668853077885,1.3935449681676626,1.4780753561699975
2013-10-10,1.112986238558667,1.1125310044985994,1.1298205056028363,1.1367743993195834
2013-10-10,1.2087155530685514,1.1125310044985994,1.1298205056028363,1.1367743993195834
2013-10-10,1.442100683374716,1.351058834308751,1.3617726252264868,1.4120637855327018
2013-10-13,1.1513635630143615,1.1074016195482315,1.135564217130906,1.2196219621962199
2013-10-13,1.615349784921892,1.6413981890924405,1.6444107929515415,1.5707109737248846
2013-10-19,1.4394637917582804,1.3402236529989833,1.384142173615858,1.443415958346313
2013-10-21,1.1055933089388394,1.104804074974199,1.145296828408783,1.1577623750230015
2013-10-21,1.4456596035543403,1.3840346999207582,1.4767563788885005,1.4858694796504757
2013-10-21,1.4456596035543403,1.5045110395792725,1.4767563788885005,1.4858694796504757
2013-10-21,1.1055933089388394,1.104804074974199,1.145296828408783,1.1087939846090582
2013-10-26,1.5590075397037586,1.4775599342379706,1.4849757121585667,1.5645711596533207
2013-10-28,1.1985381667115704,1.1674224628487446,1.1413742504664768,1.1468611334743781
2013-11-05,1.3577184252785,1.383471568407682,1.2872402912289809,1.3383100566820547
2013-11-06,1.2853484443960113,1.2855593790455533,1.3140488948425988,1.2287138893192668
2013-11-06,1.5448086179234468,1.4733631763825656,1.5472200315457412,1.584161112826193
2013-11-06,1.5448086179234468,1.6132996375855697,1.5472200315457412,1.584161112826193
2013-11-07,1.229140236166683,1.2893075827192875,1.3692216588326735,1.2917594654788416
2013-11-16,1.211951769992477,1.2102071753410817,1.2258824177488883,1.2536500507382935
2013-11-17,1.1651841458234105,1.2296313417311915,1.183704090286384,1.123929839214867
2013-11-17,1.1651841458234105,1.2296313417311915,1.1306000373855056,1.123929839214867
2013-11-17,1.6139471854216072,1.650124069478908,1.7039158606441902,1.698485326601451
2013-11-17,1.6139471854216072,1.650124069478908,1.6216820091160944,1.698485326601451
2013-11-17,1.2129638315264732,1.2296313417311915,1.2121718217649797,1.123929839214867
2013-11-17,1.2129638315264732,1.2296313417311915,1.183704090286384,1.123929839214867
2013-11-17,1.2129638315264732,1.2296313417311915,1.1306000373855056,1.123929839214867
2013-11-17,1.1651841458234105,1.2296313417311915,1.2121718217649797,1.123929839214867
2013-11-18,1.1770596695925686,1.1738855329372107,1.2322932385727496,1.1930039189665542
2013-11-19,1.241928540680155,1.2158269808556605,1.2507757384673546,1.152727518685109
2013-11-20,1.2281753008632998,1.2107062585077086,1.179351623577804,1.196992771497823
2013-11-21,1.1368909512761023,1.2130418595502854,1.1758535189776849,1.129209874277324
2013-11-23,1.2216674331515671,1.2222629745094442,1.2027964712856096,1.177631191471818
2013-11-26,1.169550472201139,1.2487741091860085,1.2618997249841335,1.2166599363154305
2013-11-29,1.3722584469472432,1.287401463566242,1.2869628347248208,1.2858656554108692
2013-12-03,2.4864366464441297,2.4577297122795687,2.4040064569054485,2.4557701671806527
2013-12-06,1.1803713527851456,1.1915693715147206,1.2282282282282282,1.2445473912014335
2013-12-12,1.2757865271100832,1.2685228621098812,1.1725675052518312,1.2715322630675592
2013-12-18,1.1431290350669865,1.1652048604316034,1.2027128348442506,1.1166542535838928
2013-12-18,1.1431290350669865,1.1652048604316034,1.10136695587042,1.1166542535838928
2013-12-20,1.3311281959592345,1.3243413787663674,1.4187200111263065,1.3637198411423064
2013-12-20,1.6444316826434595,1.5694522340624417,1.6373291244214974,1.6583847463778232
2013-12-20,1.3311281959592345,1.3243413787663674,1.3145121453577027,1.3637198411423064
