,south,north,east,west
2013-01-01,1.8186196145406162,1.8333598165845688,1.8523076923076922,1.807337261643332
2013-01-03,1.3965591203630532,1.4359166686830072,1.4141488236338788,1.3157180313346146
2013-01-03,1.3965591203630532,1.4359166686830072,1.4141488236338788,1.4582360067462172
2013-01-04,1.2198705901643476,1.153259044420699,1.2042719375149438,1.1198989518415348
2013-01-04,1.2198705901643476,1.153259044420699,1.2042719375149438,1.293970297524318
2013-01-13,1.5640880130007484,1.5434885307857857,1.6216934027408905,1.5547973110613158
2013-01-13,1.285538618101639,1.2862516950264642,1.3258924693824377,1.2712358427714854
2013-01-13,1.9888805064453703,1.9217698189660806,1.9855619146722165,1.981695443333766
2013-01-14,1.373440396210795,1.3718505647263246,1.338745154005164,1.3387962206928732
2013-01-21,1.1962535059053598,1.2584221340851534,1.2834321401095172,1.2081087726526625
2013-01-22,1.5689114005900344,1.5232904422093618,1.4953638220964953,1.5285737678074343
2013-01-24,1.5131130790190732,1.4736902630152289,1.5119131330640543,1.4950175449866303
2013-01-24,1.2399260370512506,1.2239565567395725,1.2706669781888649,1.2539652606127545
2013-01-24,1.2399260370512506,1.2239565567395725,1.1549512185981436,1.2539652606127545
2013-01-25,1.209468716699651,1.1569910057236301,1.1319639426629229,1.1239471742283518
2013-01-25,1.209468716699651,1.172681383259248,1.1319639426629229,1.1239471742283518
2013-01-25,1.209468716699651,1.172681383259248,1.1319639426629229,1.2024282680895084
2013-01-25,1.209468716699651,1.1569910057236301,1.1319639426629229,1.2024282680895084
2013-01-29,1.2366863905325443,1.2064648611649,1.2202547872766603,1.2687695946317583
2013-01-31,1.1939361661657855,1.2771821999108588,1.207228253401127,1.2043909986486223
2013-02-04,1.25314457653036,1.1921064530715069,1.1942257217847765,1.1990526869773694
2013-02-05,1.1413851063311489,1.1765831335462664,1.1221431247658298,1.1194582583853558
2013-02-06,2.2533730506395653,2.183014781139171,2.157471935184867,2.1891405794283494
2013-02-06,1.5660009741841208,1.6602103433919229,1.6508182510704246,1.6321759930414614
2013-02-09,1.2014077438781157,1.1560739632729704,1.1715343351005427,1.150799936638682
2013-02-09,1.2014077438781157,1.258444482937814,1.1715343351005427,1.150799936638682
2013-02-09,1.5802345852444863,1.5721705258602037,1.6247552751794652,1.5339301549765632
2013-02-15,1.466543283489627,1.5403163804953057,1.4942450589091607,1.5225110970196576
2013-02-17,1.2593118833574564,1.2691816511756548,1.3119352988604152,1.2228024369016535
2013-02-22,1.2300516536889985,1.3162074653308085,1.3358253352734157,1.2903969484847215
2013-03-02,1.5998452205607003,1.6742529917039868,1.760751703421496,1.670640801363834
2013-03-02,1.7694728994671005,1.6742529917039868,1.760751703421496,1.8568491708670292
2013-03-02,1.7694728994671005,1.6742529917039868,1.760751703421496,1.670640801363834
2013-03-03,1.2730301449042674,1.264178859115568,1.3181441120792952,1.3563147468580516
2013-03-06,1.9228244368768719,1.8246185792980127,1.9171624905723625,1.8328394291507444
2013-03-06,1.3674029119131679,1.3434056016817788,1.3496652016164714,1.3709677419354838
2013-03-06,1.101332455996052,1.1512565283060068,1.1642197399557266,1.180407322769393
2013-03-08,1.1299316700264421,1.2203832355603015,1.1943264694592681,1.2132490970055538
2013-03-11,1.1364386861172082,1.1369328153655025,1.2109717265402944,1.1532981906254454
2013-03-15,1.1705852318315544,1.1856956070875728,1.156531255306704,1.2183255336148835
2013-03-25,1.2375592076245996,1.1777250895225058,1.1823733399967091,1.192784295157341
2013-03-29,1.367002359360537,1.4163623650066042,1.4342632449098143,1.3770136639567558
